id,situacion,anio,revista,titulo,n_informes,diseno,n_brazo,procedencia,texto_completo,clave_de_estudio
EST-034,extraible,2020,Open forum infectious diseases,Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Treat Multidrug-Resistant Bacterial Infections at a Single Center in the United States.,1,case series,10,Estados Unidos,no,T:lessonslearnedfromthefirst10consecutivecasesofintravenousbacteriophagetherapytot
EST-035,extraible,2022,Trials,"Safety and microbiological activity of phage therapy in persons with cystic fibrosis colonized with Pseudomonas aeruginosa: study protocol for a phase 1b/2, multicenter, randomized, double-blind, placebo-controlled trial.",3,RCT,,,sí,NCT05453578
EST-036,solo-registro,2025,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500107739,A Randomized Controlled Trial of Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilator-Associated Pneumonia,1,,,,no,T:arandomizedcontrolledtrialofbacteriophagecocktailtherapyformultidrugresistantgra
EST-037,extraible,2026,Clinical Medicine Insights: Case Reports ,Pan-Resistant Pseudomonas aeruginosa Septic Shock in a Critically Ill Patient: A Case Report.,1,,,,sí,T:panresistantpseudomonasaeruginosasepticshockinacriticallyillpatientacasereport
EST-038,extraible,2021,Viruses,Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistence.,1,case series,2,Georgia,no,T:phagetherapyexperienceattheeliavaphagetherapycenterthreecasesofbacterialpersiste
EST-039,extraible,2023,Antibiotics,Adaptive Phage Therapy for the Prevention of Recurrent Nosocomial Pneumonia: Novel Protocol Description and Case Series,1,case series,3,,sí,T:adaptivephagetherapyforthepreventionofrecurrentnosocomialpneumonianovelprotocold
EST-040,extraible,2023,Infection and drug resistance,Refractory Pseudomonas aeruginosa Bronchopulmonary Infection After Lung Transplantation for Common Variable Immunodeficiency Despite Maximal Treatment Including IgM/IgA-Enriched Immunoglobulins and Bacteriophage Therapy.,1,case report,1,,sí,T:refractorypseudomonasaeruginosabronchopulmonaryinfectionafterlungtransplantation
EST-041,extraible,2024,Scientific reports,Optimized preparation pipeline for emergency phage therapy against Pseudomonas aeruginosa at Yale University.,1,,,,sí,T:optimizedpreparationpipelineforemergencyphagetherapyagainstpseudomonasaeruginosa
EST-042,extraible,2025,mLife,Phage therapy of perinephric abscess in kidney transplantation recipients caused by drug-resistant Pseudomonas aeruginosa.,1,case series,2,,sí,T:phagetherapyofperinephricabscessinkidneytransplantationrecipientscausedbydrugres
EST-043,extraible,2026,The Lancet. Infectious diseases,Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefepime-zidebactam alongside phage therapy in the USA.,1,case report,1,Estados Unidos,no,T:calciphylaxiscomplicatedbyndm1producingpseudomonasaeruginosafirstexperiencewithc
EST-044,extraible,2026,The Journal of pediatrics,Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa in a 2-Year-Old Child.,1,case report,1,,no,T:successfulbacteriophagetreatmentofarecalcitrantintraabdominalinfectioncausedbymu
EST-045,extraible,2017,Infektsionnye Bolezni,Concept of individualized medicine based on personalized phage therapy for intensive care unit patients suffering from healthcare-associated infections,1,,,,no,T:conceptofindividualizedmedicinebasedonpersonalizedphagetherapyforintensivecareun
